original_split,action_id,box_location,severity
train,action_1341,inside,1.0
valid,action_83,inside,
train,action_2146,inside,
valid,action_193,inside,1.0
valid,action_186,inside,1.0
valid,action_107,inside,1.0
valid,action_345,inside,1.0
valid,action_42,inside,2.0
train,action_973,inside,
valid,action_395,inside,
train,action_1750,inside,
test,action_129,inside,
train,action_853,inside,
train,action_2812,inside,
train,action_58,inside,
train,action_2492,inside,
train,action_1772,inside,
train,action_2411,inside,
train,action_905,inside,
train,action_845,inside,
train,action_1207,inside,3.0
train,action_1138,inside,1.0
train,action_247,inside,
train,action_1007,inside,3.0
train,action_415,inside,1.0
train,action_1703,inside,1.0
train,action_1237,inside,
train,action_740,inside,1.0
test,action_21,inside,1.0
train,action_330,inside,1.0
train,action_1991,inside,
train,action_911,inside,1.0
test,action_154,inside,1.0
test,action_251,inside,1.0
train,action_1243,inside,1.0
train,action_2544,inside,
valid,action_354,inside,1.0
valid,action_40,inside,
test,action_156,inside,1.0
train,action_434,inside,1.0
train,action_1694,inside,1.0
train,action_2168,inside,1.0
test,action_276,inside,
train,action_921,inside,
train,action_1183,inside,
train,action_2012,inside,
train,action_2526,inside,
train,action_1920,inside,
valid,action_50,inside,
train,action_42,inside,3.0
train,action_85,inside,1.0
train,action_1169,inside,1.0
train,action_863,inside,
train,action_1089,inside,1.0
train,action_1350,inside,
train,action_2656,inside,
train,action_2836,inside,
train,action_438,inside,1.0
test,action_95,inside,
valid,action_266,inside,1.0
valid,action_46,inside,1.0
train,action_601,inside,1.0
train,action_334,inside,1.0
train,action_2547,inside,
train,action_287,inside,1.0
test,action_233,inside,
train,action_431,inside,1.0
train,action_1790,inside,
test,action_227,inside,1.0
train,action_739,inside,1.0
train,action_2055,inside,
train,action_1359,inside,
test,action_243,inside,1.0
train,action_892,inside,1.0
valid,action_312,inside,1.0
train,action_1479,inside,
train,action_2752,inside,
test,action_206,inside,
test,action_56,inside,
train,action_2000,inside,1.0
train,action_772,inside,1.0
train,action_2141,inside,1.0
train,action_2606,inside,
valid,action_157,inside,1.0
train,action_145,inside,1.0
test,action_245,inside,1.0
test,action_195,inside,1.0
train,action_2450,inside,
train,action_2100,inside,
train,action_2537,inside,1.0
valid,action_392,inside,1.0
train,action_1545,inside,1.0
train,action_1892,inside,1.0
train,action_2675,inside,1.0
train,action_179,inside,1.0
test,action_53,inside,
train,action_984,inside,1.0
train,action_215,inside,3.0
train,action_1174,inside,
train,action_1399,inside,
test,action_78,inside,
train,action_953,inside,1.0
train,action_73,inside,1.0
train,action_268,inside,1.0
train,action_2158,inside,1.0
train,action_341,inside,3.0
train,action_1443,inside,1.0
train,action_437,inside,1.0
train,action_893,inside,
train,action_153,inside,1.0
train,action_266,inside,1.0
train,action_2460,inside,
test,action_191,inside,
test,action_223,inside,1.0
train,action_2319,inside,1.0
test,action_2,inside,1.0
train,action_1043,inside,
train,action_1686,inside,1.0
test,action_221,inside,
train,action_1001,inside,
train,action_130,inside,1.0
train,action_2102,inside,1.0
train,action_2043,inside,1.0
train,action_782,inside,
train,action_2576,inside,1.0
train,action_288,inside,1.0
train,action_961,inside,1.0
train,action_1153,inside,2.0
