original_split,action_id,box_location,severity
train,action_2748,outside,
train,action_337,outside,1.0
valid,action_319,outside,
train,action_543,outside,1.0
train,action_1715,outside,1.0
train,action_2802,outside,1.0
train,action_2724,outside,3.0
train,action_1050,outside,2.0
train,action_2523,outside,3.0
train,action_1347,outside,1.0
train,action_1824,outside,1.0
train,action_2272,outside,4.0
train,action_30,outside,2.0
train,action_2884,outside,1.0
train,action_1323,outside,
train,action_662,outside,
train,action_224,outside,
valid,action_172,outside,2.0
train,action_754,outside,1.0
train,action_1916,outside,1.0
test,action_121,outside,1.0
train,action_2708,outside,1.0
train,action_2680,outside,1.0
train,action_1627,outside,2.0
train,action_347,outside,3.0
test,action_200,outside,3.0
train,action_92,outside,1.0
train,action_684,outside,1.0
valid,action_257,outside,3.0
train,action_2124,outside,1.0
train,action_1406,outside,3.0
train,action_2335,outside,2.0
train,action_2853,outside,
train,action_1838,outside,3.0
train,action_1823,outside,1.0
valid,action_321,outside,2.0
train,action_2137,outside,1.0
train,action_56,outside,2.0
valid,action_52,outside,2.0
test,action_116,outside,1.0
train,action_1261,outside,1.0
train,action_1327,outside,1.0
train,action_2293,outside,1.0
train,action_322,outside,1.0
train,action_2321,outside,1.0
valid,action_15,outside,2.0
train,action_1137,outside,2.0
train,action_202,outside,3.0
train,action_1943,outside,1.0
train,action_147,outside,3.0
train,action_1626,outside,1.0
train,action_2002,outside,1.0
train,action_504,outside,1.0
train,action_2323,outside,3.0
train,action_1600,outside,
valid,action_405,outside,3.0
valid,action_121,outside,1.0
train,action_1334,outside,1.0
train,action_614,outside,2.0
train,action_448,outside,1.0
train,action_765,outside,2.0
test,action_152,outside,1.0
test,action_130,outside,2.0
train,action_946,outside,1.0
valid,action_247,outside,1.0
valid,action_327,outside,3.0
train,action_1086,outside,3.0
train,action_1913,outside,1.0
train,action_203,outside,
train,action_1346,outside,2.0
test,action_22,outside,3.0
train,action_1509,outside,1.0
train,action_1732,outside,1.0
train,action_2849,outside,3.0
test,action_67,outside,1.0
train,action_1083,outside,2.0
train,action_1062,outside,3.0
train,action_388,outside,3.0
valid,action_105,outside,3.0
train,action_2794,outside,3.0
train,action_1128,outside,1.0
train,action_2826,outside,2.0
train,action_121,outside,1.0
train,action_1808,outside,3.0
train,action_281,outside,1.0
train,action_1462,outside,2.0
train,action_2032,outside,4.0
train,action_701,outside,3.0
train,action_874,outside,2.0
valid,action_313,outside,1.0
train,action_1333,outside,3.0
train,action_1274,outside,
train,action_834,outside,1.0
train,action_497,outside,
train,action_1239,outside,3.0
train,action_1791,outside,1.0
train,action_2019,outside,3.0
train,action_2531,outside,1.0
valid,action_261,outside,2.0
train,action_803,outside,3.0
train,action_15,outside,1.0
valid,action_372,outside,1.0
valid,action_143,outside,2.0
train,action_2758,outside,1.0
train,action_1226,outside,1.0
train,action_1204,outside,3.0
train,action_564,outside,1.0
valid,action_171,outside,3.0
train,action_478,outside,1.0
train,action_676,outside,3.0
train,action_1254,outside,
train,action_213,outside,3.0
train,action_457,outside,2.0
test,action_136,outside,2.0
train,action_1194,outside,4.0
train,action_2374,outside,
valid,action_293,outside,3.0
train,action_2166,outside,2.0
train,action_1863,outside,3.0
train,action_2672,outside,3.0
train,action_800,outside,1.0
train,action_1324,outside,3.0
test,action_246,outside,
train,action_2,outside,3.0
train,action_1405,outside,1.0
train,action_794,outside,3.0
train,action_2728,outside,3.0
train,action_1696,outside,3.0
